BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460366.744917,1.00079,0.00153,1.4048,-0.04,0.24,12.46,115473
2460366.745218,0.99865,0.00154,1.4052,0.38,-0.05,12.38,112606
2460366.745508,1.00123,0.00155,1.4056,-0.23,0.12,12.13,118008
2460366.745798,1.00325,0.00156,1.4061,0.16,0.11,12.31,116551
2460366.746099,0.99850,0.00153,1.4065,-0.07,-0.19,11.90,135316
2460366.746389,0.99706,0.00154,1.4069,-0.28,-0.09,12.19,121063
2460366.746690,0.99916,0.00155,1.4074,-0.13,0.08,11.97,111179
2460366.746991,0.99606,0.00152,1.4079,-0.21,0.25,12.43,127378
2460366.747293,0.99557,0.00151,1.4083,0.06,0.03,12.30,131895
2460366.747583,1.00180,0.00153,1.4088,-0.07,0.21,12.19,124471
2460366.747872,0.99802,0.00153,1.4092,0.07,0.05,12.21,123609
2460366.748174,0.99640,0.00155,1.4097,-0.11,0.09,12.53,112839
2460366.748475,0.99938,0.00155,1.4102,-0.19,0.43,12.24,116353
2460366.748765,1.00079,0.00152,1.4107,-0.18,0.20,12.07,143775
2460366.749066,0.99735,0.00151,1.4112,-0.02,0.12,12.19,139331
2460366.749356,0.99973,0.00152,1.4117,-0.20,-0.12,12.52,135024
2460366.749646,0.99939,0.00153,1.4122,-0.23,0.14,12.37,125314
2460366.749947,0.99994,0.00156,1.4127,-0.45,0.17,12.30,114865
2460366.750249,0.99964,0.00160,1.4132,-0.38,-0.19,12.15,97973
2460366.750538,0.99800,0.00159,1.4138,-0.31,0.11,12.16,104486
2460366.750828,0.99518,0.00160,1.4143,-0.36,0.11,12.31,100990
2460366.751130,0.99393,0.00159,1.4148,-0.50,0.07,12.26,105260
2460366.751419,0.99928,0.00155,1.4154,-0.25,-0.04,12.29,129708
2460366.751721,0.99886,0.00154,1.4159,0.02,0.00,12.38,127036
2460366.752011,0.99641,0.00150,1.4165,-0.22,-0.06,12.27,159037
2460366.752312,0.99787,0.00150,1.4171,-0.18,0.23,12.36,160215
2460366.752613,0.99620,0.00150,1.4176,-0.33,0.26,12.04,164143
2460366.752903,1.00144,0.00151,1.4182,-0.10,0.12,12.10,171499
2460366.753193,1.00111,0.00151,1.4188,-0.19,0.05,12.28,176667
2460366.753494,0.99954,0.00151,1.4194,-0.04,-0.21,12.39,156515
2460366.753784,1.00133,0.00151,1.4200,-0.38,-0.15,12.35,162873
2460366.754074,0.99850,0.00152,1.4205,-0.02,0.26,12.38,155976
2460366.754375,0.99725,0.00151,1.4211,-0.48,0.07,12.12,160680
2460366.754677,0.99889,0.00151,1.4218,-0.21,0.19,12.27,162910
2460366.754966,0.99831,0.00151,1.4224,-0.62,-0.07,12.54,152574
2460366.755256,0.99912,0.00151,1.4230,-0.44,0.01,12.47,164354
2460366.755557,1.00228,0.00152,1.4237,-0.17,0.01,12.53,166400
2460366.755859,1.00010,0.00152,1.4243,-0.30,-0.10,12.42,160222
2460366.756160,1.00115,0.00155,1.4249,-0.17,-0.05,11.96,154861
2460366.756450,1.00125,0.00162,1.4256,-0.33,-0.01,12.22,108868
2460366.756751,0.99928,0.00158,1.4262,-0.75,0.27,12.10,124012
2460366.757040,1.00202,0.00154,1.4269,-0.27,-0.01,12.31,150473
2460366.757330,0.99854,0.00152,1.4276,-0.40,-0.08,12.42,153312
2460366.757631,0.99958,0.00152,1.4283,-0.60,0.02,12.41,162954
2460366.757921,1.00289,0.00153,1.4289,-0.20,0.17,12.25,163034
2460366.758223,0.99899,0.00153,1.4296,-0.26,-0.12,12.24,171834
2460366.758512,0.99880,0.00153,1.4303,-0.20,0.01,12.40,159397
2460366.758814,0.99941,0.00154,1.4310,-0.21,-0.05,12.27,162372
2460366.759103,0.99687,0.00153,1.4317,-0.06,-0.23,12.22,168922
2460366.759393,1.00046,0.00153,1.4324,-0.36,0.04,12.27,165712
2460366.759695,1.00182,0.00154,1.4331,-0.16,0.08,12.27,167478
2460366.759984,0.99845,0.00153,1.4339,-0.31,0.07,12.28,165377
2460366.760274,0.99740,0.00153,1.4346,-0.23,0.10,12.31,179301
2460366.760576,1.00017,0.00154,1.4353,-0.15,0.16,12.34,170477
2460366.760865,0.99868,0.00153,1.4361,-0.64,0.11,12.30,173947
2460366.761167,1.00173,0.00154,1.4368,-0.49,-0.11,12.22,175242
2460366.761456,1.00340,0.00154,1.4376,-0.59,0.05,12.05,180919
2460366.761758,0.99851,0.00153,1.4384,-0.38,0.12,12.28,182579
2460366.762047,1.00045,0.00154,1.4391,-0.34,-0.06,12.21,184222
2460366.762349,0.99882,0.00153,1.4399,-0.09,0.03,12.11,194118
2460366.762639,0.99660,0.00153,1.4407,-0.36,0.13,12.16,193920
2460366.762940,1.00025,0.00154,1.4415,-0.49,0.01,12.13,181830
2460366.763230,1.00121,0.00155,1.4423,-0.43,-0.03,12.18,179004
